timestamp,customer_no,location,cust_id,time,section_order,revenue
2019-09-02 07:03:00,1,dairy,m_1,07:03:00,first,5
2019-09-02 07:03:00,2,dairy,m_2,07:03:00,first,5
2019-09-02 07:04:00,1,dairy,m_1,07:03:00,first,5
2019-09-02 07:04:00,2,dairy,m_2,07:03:00,first,5
2019-09-02 07:04:00,3,dairy,m_3,07:04:00,first,5
2019-09-02 07:04:00,4,dairy,m_4,07:04:00,first,5
2019-09-02 07:04:00,5,spices,m_5,07:04:00,first,3
2019-09-02 07:04:00,6,spices,m_6,07:04:00,first,3
2019-09-02 07:04:00,7,spices,m_7,07:04:00,first,3
2019-09-02 07:04:00,8,fruit,m_8,07:04:00,first,4
2019-09-02 07:05:00,1,checkout,m_1,07:05:00,checkout,0
2019-09-02 07:05:00,2,dairy,m_2,07:03:00,first,5
2019-09-02 07:05:00,3,dairy,m_3,07:04:00,first,5
2019-09-02 07:05:00,4,dairy,m_4,07:04:00,first,5
2019-09-02 07:05:00,5,checkout,m_5,07:05:00,checkout,0
2019-09-02 07:05:00,6,dairy,m_6,07:05:00,following,5
2019-09-02 07:05:00,7,drinks,m_7,07:05:00,following,6
2019-09-02 07:05:00,8,fruit,m_8,07:04:00,first,4
2019-09-02 07:06:00,10,fruit,m_10,07:06:00,first,4
2019-09-02 07:06:00,11,drinks,m_11,07:06:00,first,6
2019-09-02 07:06:00,12,spices,m_12,07:06:00,first,3
2019-09-02 07:06:00,13,dairy,m_13,07:06:00,first,5
2019-09-02 07:06:00,14,fruit,m_14,07:06:00,first,4
2019-09-02 07:06:00,2,checkout,m_2,07:06:00,checkout,0
2019-09-02 07:06:00,3,checkout,m_3,07:06:00,checkout,0
2019-09-02 07:06:00,4,dairy,m_4,07:04:00,first,5
2019-09-02 07:06:00,6,dairy,m_6,07:05:00,following,5
2019-09-02 07:06:00,7,drinks,m_7,07:05:00,following,6
2019-09-02 07:06:00,8,fruit,m_8,07:04:00,first,4
2019-09-02 07:06:00,9,dairy,m_9,07:06:00,first,5
2019-09-02 07:07:00,10,fruit,m_10,07:06:00,first,4
2019-09-02 07:07:00,11,drinks,m_11,07:06:00,first,6
2019-09-02 07:07:00,12,drinks,m_12,07:07:00,following,6
2019-09-02 07:07:00,13,dairy,m_13,07:06:00,first,5
2019-09-02 07:07:00,14,fruit,m_14,07:06:00,first,4
2019-09-02 07:07:00,15,spices,m_15,07:07:00,first,3
2019-09-02 07:07:00,16,dairy,m_16,07:07:00,first,5
2019-09-02 07:07:00,4,dairy,m_4,07:04:00,first,5
2019-09-02 07:07:00,6,dairy,m_6,07:05:00,following,5
2019-09-02 07:07:00,7,drinks,m_7,07:05:00,following,6
2019-09-02 07:07:00,8,checkout,m_8,07:07:00,checkout,0
2019-09-02 07:07:00,9,dairy,m_9,07:06:00,first,5
2019-09-02 07:08:00,10,checkout,m_10,07:08:00,checkout,0
2019-09-02 07:08:00,11,checkout,m_11,07:08:00,checkout,0
2019-09-02 07:08:00,12,drinks,m_12,07:07:00,following,6
2019-09-02 07:08:00,13,dairy,m_13,07:06:00,first,5
2019-09-02 07:08:00,14,fruit,m_14,07:06:00,first,4
2019-09-02 07:08:00,15,fruit,m_15,07:08:00,following,4
2019-09-02 07:08:00,16,dairy,m_16,07:07:00,first,5
2019-09-02 07:08:00,4,checkout,m_4,07:08:00,checkout,0
2019-09-02 07:08:00,6,dairy,m_6,07:05:00,following,5
2019-09-02 07:08:00,7,drinks,m_7,07:05:00,following,6
2019-09-02 07:08:00,9,dairy,m_9,07:06:00,first,5
2019-09-02 07:09:00,12,drinks,m_12,07:07:00,following,6
2019-09-02 07:09:00,13,dairy,m_13,07:06:00,first,5
2019-09-02 07:09:00,14,checkout,m_14,07:09:00,checkout,0
2019-09-02 07:09:00,15,fruit,m_15,07:08:00,following,4
2019-09-02 07:09:00,16,spices,m_16,07:09:00,following,3
2019-09-02 07:09:00,6,dairy,m_6,07:05:00,following,5
2019-09-02 07:09:00,7,spices,m_7,07:09:00,following,3
2019-09-02 07:09:00,9,dairy,m_9,07:06:00,first,5
2019-09-02 07:10:00,12,checkout,m_12,07:10:00,checkout,0
2019-09-02 07:10:00,13,dairy,m_13,07:06:00,first,5
2019-09-02 07:10:00,15,fruit,m_15,07:08:00,following,4
2019-09-02 07:10:00,16,spices,m_16,07:09:00,following,3
2019-09-02 07:10:00,6,dairy,m_6,07:05:00,following,5
2019-09-02 07:10:00,7,spices,m_7,07:09:00,following,3
2019-09-02 07:10:00,9,dairy,m_9,07:06:00,first,5
2019-09-02 07:11:00,13,dairy,m_13,07:06:00,first,5
2019-09-02 07:11:00,15,fruit,m_15,07:08:00,following,4
2019-09-02 07:11:00,16,checkout,m_16,07:11:00,checkout,0
2019-09-02 07:11:00,17,fruit,m_17,07:11:00,first,4
2019-09-02 07:11:00,6,dairy,m_6,07:05:00,following,5
2019-09-02 07:11:00,7,fruit,m_7,07:11:00,following,4
2019-09-02 07:11:00,9,dairy,m_9,07:06:00,first,5
2019-09-02 07:12:00,13,dairy,m_13,07:06:00,first,5
2019-09-02 07:12:00,15,checkout,m_15,07:12:00,checkout,0
2019-09-02 07:12:00,17,fruit,m_17,07:11:00,first,4
2019-09-02 07:12:00,18,fruit,m_18,07:12:00,first,4
2019-09-02 07:12:00,19,spices,m_19,07:12:00,first,3
2019-09-02 07:12:00,20,drinks,m_20,07:12:00,first,6
2019-09-02 07:12:00,6,dairy,m_6,07:05:00,following,5
2019-09-02 07:12:00,7,fruit,m_7,07:11:00,following,4
2019-09-02 07:12:00,9,fruit,m_9,07:12:00,following,4
2019-09-02 07:13:00,13,spices,m_13,07:13:00,following,3
2019-09-02 07:13:00,17,fruit,m_17,07:11:00,first,4
2019-09-02 07:13:00,18,fruit,m_18,07:12:00,first,4
